player_name,team_code,position_raw,Goals,Assists,Minutes Played,team_code_Attacking,position_raw_Attacking,Assists_Attacking,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,team_code_Distribution,position_raw_Distribution,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),team_code_Defending,position_raw_Defending,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,team_code_Discipline,position_raw_Discipline,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,team_code_Goalkeeping,position_raw_Goalkeeping,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,team_code_Movement,position_raw_Movement,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,team_code_Physical,position_raw_Physical,Top Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Arda Guler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR,FW,268,40,122,106,157,111,6,46,89,455,,,,,,
Ayase Ueda,JPN,FW,2,1,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aymen Dahmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUN,GK,6,51,44,,,,,,,,,,,,,,,,,,
Aymen Hussein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRQ,FW,1,5,60,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aymeric Laporte,,,,,,,,,,,,,,,,,,ESP,DF,660,618,94,0,0,0,12,58,8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azzedine Ounahi,,,,,,,,,,,,,,,,,,MAR,MF,315,281,89,6,33,8,17,65,3,100,,,,,,,,,,,,,,,,,,,,MAR,MF,316,51,144,121,177,139,2,81,126,683,,,,,,
Bart Verbruggen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED,GK,17,57,54,,,,,,,,,,,,,,,,,,
Behruzjon Karimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZB,DF,0,5,55,7,UZB,DF,8,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Asare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHA,GK,8,55,47,,,,,,,,,,,,,,,,,,
Bradley Barcola,FRA,FW,3,1,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA,FW,36.32,340,165,42770.58
Brahim Diaz,,,,,,MAR,FW,4,1,6,0,4,2,0,0.31,0x,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Mechele,,,,,,,,,,,,,,,,,,BEL,DF,399,369,92,0,0,1,4,50,2,100,,,,,,,BEL,DF,9,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Breel Embolo,SUI,FW,2,2,531,SUI,FW,2,5,10,20,8,2,2,2.58,0.78x,0,,,,,,,,,,,,,,,,,,,SUI,FW,9,11,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,
Brian Brobbey,NED,FW,3,0,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Gutierrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEX,MF,34.85,334,112,24453.57
Brian Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URU,FW,34.88,90,35,6497.61
Bruno Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR,MF,251,53,135,63,150,101,5,86,115,640,,,,,,
Bruno Guimaraes,,,,,,BRA,MF,4,2,8,0,5,3,1,1.02,0x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRA,MF,339,56,156,127,258,81,5,51,92,459,,,,,,
Bukayo Saka,ENG,FW,3,3,411,ENG,FW,3,7,13,23,11,2,1,1.72,1.74x,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Yirenkyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHA,MF,7,3,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Cameron Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,DF,1,2,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camilo Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COL,GK,7,57,54,,,,,,,,,,,,,,,,,,
Carl Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,DF,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAN,DF,8,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Chadi Riad,,,,,,MAR,DF,1,0,1,0,1,0,1,0.12,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles De Ketelaere,BEL,FW,3,1,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemsdine Talbi,,,,,,MAR,MF,1,0,2,0,1,1,0,0.05,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAR,MF,35.33,280,128,23817.14
Chris Richards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,DF,8,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Chris Wood,,,,,,NZL,FW,2,2,5,0,3,2,2,0.47,0x,0,,,,,,,,,,,,,NZL,FW,0,8,88,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Gakpo,NED,FW,3,1,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Metcalfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,MF,0,28,180,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristian Romero,,,,,,,,,,,,,,,,,,ARG,DF,430,415,97,0,0,3,1,0,0,0,,,,,,,ARG,DF,9,3,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Cristian Volpato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,FW,0,11,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,POR,FW,3,0,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crysencio Summerville,NED,FW,2,2,282,NED,FW,2,2,2,100,1,1,0,0.16,12.33x,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyle Larin,CAN,FW,2,0,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daichi Kamada,JPN,MF,2,0,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JPN,MF,212,19,92,101,134,78,0,34,52,436,,,,,,
Dailon Livramento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPV,FW,34.81,237,100,23067.28
Daizen Maeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JPN,MF,35,432,239,32326.01
Damian Bobadilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAR,MF,1,5,95,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Ndoye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUI,FW,0,32,141,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Olmo,,,,,,ESP,FW,2,2,13,0,7,6,2,1.16,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP,FW,314,89,175,50,248,66,4,79,112,537,,,,,,
Daniel Munoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COL,DF,9,1,0,0,0,3,,,,,,COL,DF,338,135,109,94,53,285,8,38,52,461,,,,,,
Davinson Sanchez,,,,,,,,,,,,,,,,,,COL,DF,361,324,90,0,0,1,10,20,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayot Upamecano,,,,,,,,,,,,,,,,,,FRA,DF,443,409,92,0,0,2,6,67,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA,DF,35.39,598,228,73611.38
Dean Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG,GK,6,26,22,,,,,,,,,,,,,,,,,,
Declan Rice,,,,,,ENG,MF,2,3,6,17,3,3,1,0.31,3.23x,30,ENG,MF,340,312,92,40,38,2,12,50,4,75,,,,,,,,,,,,,,,,,,,,ENG,MF,274,31,88,155,175,99,3,28,112,742,,,,,,
Deniz Undav,GER,FW,3,2,174,GER,FW,2,4,6,50,5,1,0,1.43,2.1x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denzel Dumfries,,,,,,NED,DF,2,2,5,0,4,1,2,0.44,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desire Doue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA,FW,212,63,101,48,80,132,12,91,95,474,,,,,,
Diney Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPV,DF,1,5,29,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR,GK,20,114,93,,,,,,,,,,,,,,,,,,
Djed Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG,DF,36.22,417,214,45630.64
Dominik Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRO,GK,12,80,68,,,,,,,,,,,,,,,,,,
Edouard Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEN,GK,8,34,25,,,,,,,,,,,,,,,,,,
Eldor Shomurodov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZB,FW,8,4,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
Elijah Just,NZL,MF,3,0,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliot Anderson,,,,,,,,,,,,,,,,,,ENG,MF,445,396,89,6,50,1,17,71,10,90,,,,,,,ENG,MF,9,13,1,0,0,0,,,,,,ENG,MF,374,21,84,269,271,103,2,15,188,975,,,,,,
Ellyes Skhiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUN,MF,1,10,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eloy Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUW,GK,21,81,72,,,,,,,,,,,,,,,,,,
Emam Ashour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGY,MF,241,49,128,64,114,127,5,50,85,471,,,,,,
Emiliano Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,GK,20,111,97,,,,,,,,,,,,,,,,,,
Enzo Fernandez,,,,,,,,,,,,,,,,,,ARG,MF,519,480,92,5,40,5,21,71,8,88,,,,,,,ARG,MF,12,6,2,1,1,1,,,,,,ARG,MF,374,51,128,195,226,148,4,81,159,1122,,,,,,
Eren Elmali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR,DF,34.75,135,60,14528.21
Erling Haaland,NOR,FW,7,0,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOR,FW,36.52,375,172,49468.92
Ermedin Demirovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIH,FW,11,3,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
Ermin Mahmic,BIH,MF,2,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernest Nuamah,,,,,,GHA,FW,1,0,0,0,0,0,0,0,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esmir Bajraktarevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIH,FW,34.8,318,145,28616.79
Ezri Konsa,,,,,,,,,,,,,,,,,,ENG,DF,488,469,96,3,0,1,3,100,3,67,,,,,,,ENG,DF,8,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Fabian Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP,MF,317,43,146,128,218,99,2,41,99,639,,,,,,
Federico Valverde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URU,MF,34.86,228,99,25916.6
Felix Nmecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER,MF,34.97,442,141,33325.14
Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP,FW,243,118,96,29,204,39,12,96,70,251,,,,,,
Florian Wirtz,,,,,,GER,MF,3,1,10,0,5,5,0,0.97,0x,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER,MF,218,71,100,47,96,122,4,117,99,599,,,,,,
Folarin Balogun,USA,FW,3,0,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,FW,35.6,329,183,34951.64
Franck Kessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIV,MF,7,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Gudmundsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,DF,0,13,58,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Magalhaes,,,,,,,,,,,,,,,,,,BRA,DF,431,413,96,0,0,0,2,50,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giuliano Simeone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,9,1,0,0,0,1,,,,,,,,,,,,,,,,,,ARG,FW,35.2,296,114,23625.58
Granit Xhaka,,,,,,,,,,,,,,,,,,SUI,MF,470,427,91,4,0,2,15,47,8,100,,,,,,,,,,,,,,,,,,,,SUI,MF,330,5,129,196,231,99,0,35,110,997,,,,,,
Gregor Kobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUI,GK,20,100,88,,,,,,,,,,,,,,,,,,
Gustaf Lagerbielke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,DF,0,8,50,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Puerta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COL,DF,9,8,1,0,0,0,,,,,,COL,DF,260,48,108,104,145,115,3,44,116,643,,,,,,
Habib Diarra,SEN,MF,2,0,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannibal Mejbri,,,,,,TUN,MF,2,1,3,0,0,3,0,0.06,0x,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans Vanaken,,,,,,BEL,MF,2,1,5,20,4,1,0,0.64,1.56x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Kane,ENG,FW,6,1,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG,FW,8,9,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Harry Souttar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,DF,0,4,18,6,AUS,DF,8,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Hassan Altambakti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSA,DF,1,5,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazem Mastouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUN,FW,34.84,106,39,10041.14
Hernan Galindez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECU,GK,12,68,63,,,,,,,,,,,,,,,,,,
Hjalmar Ekdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,DF,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houssem Aouar,,,,,,ALG,MF,2,1,3,0,1,2,0,0.24,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliman Ndiaye,,,,,,SEN,FW,2,2,3,33,2,1,0,0.21,4.76x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isak Hien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,DF,0,13,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismael Saibari,MAR,MF,3,0,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAR,MF,8,3,0,0,0,3,,,,,,MAR,MF,298,151,117,30,182,116,9,67,94,246,,,,,,
Ismaila Sarr,SEN,FW,4,1,419,SEN,FW,1,6,17,24,15,2,2,3.68,1.09x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issa Diop,,,,,,,,,,,,,,,,,,MAR,DF,326,299,92,0,0,0,3,0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Italiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,DF,0,6,83,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Widell Zetterstrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,GK,12,54,46,,,,,,,,,,,,,,,,,,
Jalal Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRQ,GK,7,51,45,,,,,,,,,,,,,,,,,,
Jan Paul Van Hecke,,,,,,,,,,,,,,,,,,NED,DF,360,335,93,1,0,1,5,60,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean Kevin Duverne,,,,,,HAI,DF,1,0,1,0,1,0,0,0.03,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesper Karlstrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,MF,0,7,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joao Neves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR,MF,214,52,74,88,158,56,2,40,107,558,,,,,,
Johan Manzambi,SUI,MF,3,2,220,SUI,MF,2,3,6,50,4,2,0,0.63,4.73x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johny Placide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAI,GK,13,56,48,,,,,,,,,,,,,,,,,,
Jonathan David,CAN,FW,3,0,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Tah,,,,,,,,,,,,,,,,,,GER,DF,375,364,97,1,0,1,3,100,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Ayew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHA,FW,7,7,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
Jordan Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,DF,36.67,396,223,36920.34
Jordan Pickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG,GK,19,133,110,,,,,,,,,,,,,,,,,,
Joshua Kimmich,,,,,,GER,DF,2,1,5,0,1,4,0,0.15,0x,15,GER,DF,368,336,91,25,20,1,9,56,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
